start,end,split,dataset_number,user_number,dataset
1632777632.377402,1632777812.617654,train,0,17,discrete_gestures_user_017_dataset_000.hdf5
1632777461.766155,1632777508.347254,train,0,17,discrete_gestures_user_017_dataset_000.hdf5
1632777510.806516,1632777630.82154,train,0,17,discrete_gestures_user_017_dataset_000.hdf5
1632776026.9887853,1632776194.192154,train,0,17,discrete_gestures_user_017_dataset_000.hdf5
1632775856.162311,1632776019.541962,train,0,17,discrete_gestures_user_017_dataset_000.hdf5
1632776385.448827,1632776549.405564,train,0,17,discrete_gestures_user_017_dataset_000.hdf5
1632776202.628015,1632776371.204728,train,0,17,discrete_gestures_user_017_dataset_000.hdf5
1632776591.396575,1632776729.272942,train,0,17,discrete_gestures_user_017_dataset_000.hdf5
1632776772.196159,1632776842.806876,train,0,17,discrete_gestures_user_017_dataset_000.hdf5
1632776850.022543,1632776919.32259,train,0,17,discrete_gestures_user_017_dataset_000.hdf5
1632776933.468405,1632777003.123337,train,0,17,discrete_gestures_user_017_dataset_000.hdf5
1632777278.933397,1632777451.247632,train,0,17,discrete_gestures_user_017_dataset_000.hdf5
1632777083.218784,1632777254.196186,train,0,17,discrete_gestures_user_017_dataset_000.hdf5
1632837766.941728,1632837947.107047,train,0,98,discrete_gestures_user_098_dataset_000.hdf5
1632837598.434392,1632837643.354867,train,0,98,discrete_gestures_user_098_dataset_000.hdf5
1632837645.184991,1632837765.1841857,train,0,98,discrete_gestures_user_098_dataset_000.hdf5
1632836056.044732,1632836214.63058,train,0,98,discrete_gestures_user_098_dataset_000.hdf5
1632836226.255863,1632836394.526593,train,0,98,discrete_gestures_user_098_dataset_000.hdf5
1632836575.884146,1632836736.586503,train,0,98,discrete_gestures_user_098_dataset_000.hdf5
1632836399.252472,1632836564.749723,train,0,98,discrete_gestures_user_098_dataset_000.hdf5
1632836747.73423,1632836890.19758,train,0,98,discrete_gestures_user_098_dataset_000.hdf5
1632836925.385868,1632836992.232452,train,0,98,discrete_gestures_user_098_dataset_000.hdf5
1632836997.281225,1632837066.917473,train,0,98,discrete_gestures_user_098_dataset_000.hdf5
1632837072.545883,1632837140.813078,train,0,98,discrete_gestures_user_098_dataset_000.hdf5
1632837201.36694,1632837371.793165,train,0,98,discrete_gestures_user_098_dataset_000.hdf5
1632837383.119752,1632837550.878125,train,0,98,discrete_gestures_user_098_dataset_000.hdf5
1633010555.85193,1633010736.515244,train,0,44,discrete_gestures_user_044_dataset_000.hdf5
1633010362.247147,1633010412.737244,train,0,44,discrete_gestures_user_044_dataset_000.hdf5
1633010422.4271,1633010542.437433,train,0,44,discrete_gestures_user_044_dataset_000.hdf5
1633008727.798797,1633008900.671532,train,0,44,discrete_gestures_user_044_dataset_000.hdf5
1633009093.2681978,1633009260.977969,train,0,44,discrete_gestures_user_044_dataset_000.hdf5
1633008915.108907,1633009077.656069,train,0,44,discrete_gestures_user_044_dataset_000.hdf5
1633008545.506281,1633008712.970902,train,0,44,discrete_gestures_user_044_dataset_000.hdf5
1633009312.797044,1633009448.279971,train,0,44,discrete_gestures_user_044_dataset_000.hdf5
1633009528.043921,1633009598.881306,train,0,44,discrete_gestures_user_044_dataset_000.hdf5
1633009605.937778,1633009674.031702,train,0,44,discrete_gestures_user_044_dataset_000.hdf5
1633009683.5028517,1633009751.966183,train,0,44,discrete_gestures_user_044_dataset_000.hdf5
1633010127.018942,1633010296.799907,train,0,44,discrete_gestures_user_044_dataset_000.hdf5
1633009890.549101,1633010057.551611,train,0,44,discrete_gestures_user_044_dataset_000.hdf5
1633114812.272265,1633114992.281891,train,0,85,discrete_gestures_user_085_dataset_000.hdf5
1633114628.014587,1633114677.610023,train,0,85,discrete_gestures_user_085_dataset_000.hdf5
1633114688.499943,1633114808.513658,train,0,85,discrete_gestures_user_085_dataset_000.hdf5
1633113390.992821,1633113558.828771,train,0,85,discrete_gestures_user_085_dataset_000.hdf5
1633113033.232044,1633113205.256473,train,0,85,discrete_gestures_user_085_dataset_000.hdf5
1633113212.146041,1633113381.463389,train,0,85,discrete_gestures_user_085_dataset_000.hdf5
1633113574.794251,1633113739.165246,train,0,85,discrete_gestures_user_085_dataset_000.hdf5
1633113779.123132,1633113913.054253,train,0,85,discrete_gestures_user_085_dataset_000.hdf5
1633113958.3526,1633114025.756322,train,0,85,discrete_gestures_user_085_dataset_000.hdf5
1633114039.148652,1633114106.181566,train,0,85,discrete_gestures_user_085_dataset_000.hdf5
1633114124.266619,1633114190.654358,train,0,85,discrete_gestures_user_085_dataset_000.hdf5
1633114443.888099,1633114614.4947317,train,0,85,discrete_gestures_user_085_dataset_000.hdf5
