name,time,prompt_time,aligned_time,alignment_iteration,alignment_offset,official_event_time,artificial_shift_seconds,error_from_official_before,error_from_official_after
middle_press,1633015191.2990537,1633015191.2990537,1633015191.5595531,3,0.2604994773864746,1633015191.5490537,-0.25,-0.25,0.01049947738647461
middle_release,1633015192.044052,1633015192.044052,1633015192.264056,3,0.22000408172607422,1633015192.294052,-0.25,-0.25,-0.02999591827392578
index_press,1633015193.0791073,1633015193.0791073,1633015193.379627,3,0.3005197048187256,1633015193.3291073,-0.25,-0.25,0.050519704818725586
index_release,1633015193.269136,1633015193.269136,1633015193.569666,3,0.30052995681762695,1633015193.519136,-0.25,-0.25,0.05052995681762695
index_press,1633015194.5891316,1633015194.5891316,1633015194.8896458,3,0.30051422119140625,1633015194.8391316,-0.25,-0.25,0.05051422119140625
index_release,1633015194.6791682,1633015194.6791682,1633015195.2597024,3,0.5805342197418213,1633015194.9291682,-0.25,-0.25,0.3305342197418213
index_press,1633015194.9441807,1633015194.9441807,1633015195.2847004,3,0.34051966667175293,1633015195.1941807,-0.25,-0.25,0.09051966667175293
index_release,1633015195.0641983,1633015195.0641983,1633015195.484661,3,0.42046284675598145,1633015195.3141983,-0.25,-0.25,0.17046284675598145
index_press,1633015196.1341598,1633015196.1341598,1633015196.4346519,3,0.3004920482635498,1633015196.3841598,-0.25,-0.25,0.050492048263549805
index_release,1633015196.2241564,1633015196.2241564,1633015196.8841758,3,0.6600193977355957,1633015196.4741564,-0.25,-0.25,0.4100193977355957
index_press,1633015196.4691918,1633015196.4691918,1633015197.0097296,3,0.5405378341674805,1633015196.7191918,-0.25,-0.25,0.29053783416748047
index_release,1633015196.6441734,1633015196.6441734,1633015197.2247856,3,0.5806121826171875,1633015196.8941734,-0.25,-0.25,0.3306121826171875
middle_press,1633015197.4892445,1633015197.4892445,1633015197.7492497,3,0.26000523567199707,1633015197.7392445,-0.25,-0.25,0.01000523567199707
middle_release,1633015197.7492645,1633015197.7492645,1633015197.9692469,3,0.21998238563537598,1633015197.9992645,-0.25,-0.25,-0.030017614364624023
middle_press,1633015198.5442607,1633015198.5442607,1633015198.8042598,3,0.25999903678894043,1633015198.7942607,-0.25,-0.25,0.00999903678894043
middle_release,1633015198.8342779,1633015198.8342779,1633015199.0947764,3,0.2604985237121582,1633015199.0842779,-0.25,-0.25,0.010498523712158203
index_press,1633015199.6994376,1633015199.6994376,1633015199.9999397,3,0.30050206184387207,1633015199.9494376,-0.25,-0.25,0.05050206184387207
index_release,1633015200.2243574,1633015200.2243574,1633015200.4843593,3,0.26000189781188965,1633015200.4743574,-0.25,-0.25,0.010001897811889648
index_press,1633015201.3094282,1633015201.3094282,1633015201.609963,3,0.300534725189209,1633015201.5594282,-0.25,-0.25,0.050534725189208984
index_release,1633015201.4143965,1633015201.4143965,1633015201.7149708,3,0.30057430267333984,1633015201.6643965,-0.25,-0.25,0.050574302673339844
middle_press,1633015202.4794261,1633015202.4794261,1633015202.7394273,3,0.26000118255615234,1633015202.7294261,-0.25,-0.25,0.010001182556152344
middle_release,1633015202.7294438,1633015202.7294438,1633015202.9099517,3,0.18050789833068848,1633015202.9794438,-0.25,-0.25,-0.06949210166931152
index_press,1633015203.3295193,1633015203.3295193,1633015203.6300108,3,0.3004915714263916,1633015203.5795193,-0.25,-0.25,0.0504915714263916
index_release,1633015204.1194642,1633015204.1194642,1633015204.3794632,3,0.25999903678894043,1633015204.3694642,-0.25,-0.25,0.00999903678894043
