name,time,prompt_time,aligned_time,alignment_iteration,alignment_offset,official_event_time,artificial_shift_seconds,error_from_official_before,error_from_official_after
middle_press,1633015191.2990537,1633015191.2990537,1633015191.5995467,3,0.3004930019378662,1633015191.5490537,-0.25,-0.25,0.05049300193786621
middle_release,1633015192.044052,1633015192.044052,1633015192.264056,3,0.22000408172607422,1633015192.294052,-0.25,-0.25,-0.02999591827392578
index_press,1633015193.0791073,1633015193.0791073,1633015193.379627,3,0.3005197048187256,1633015193.3291073,-0.25,-0.25,0.050519704818725586
index_release,1633015193.269136,1633015193.269136,1633015193.5296454,3,0.2605094909667969,1633015193.519136,-0.25,-0.25,0.010509490966796875
index_press,1633015194.5891316,1633015194.5891316,1633015194.8496296,3,0.260498046875,1633015194.8391316,-0.25,-0.25,0.010498046875
index_release,1633015194.6791682,1633015194.6791682,1633015194.8996522,3,0.22048401832580566,1633015194.9291682,-0.25,-0.25,-0.029515981674194336
index_press,1633015194.9441807,1633015194.9441807,1633015195.2046854,3,0.26050472259521484,1633015195.1941807,-0.25,-0.25,0.010504722595214844
index_release,1633015195.0641983,1633015195.0641983,1633015195.2847004,3,0.22050213813781738,1633015195.3141983,-0.25,-0.25,-0.029497861862182617
index_press,1633015196.1341598,1633015196.1341598,1633015196.3946579,3,0.260498046875,1633015196.3841598,-0.25,-0.25,0.010498046875
index_release,1633015196.2241564,1633015196.2241564,1633015196.444153,3,0.21999669075012207,1633015196.4741564,-0.25,-0.25,-0.03000330924987793
index_press,1633015196.4691918,1633015196.4691918,1633015196.7296913,3,0.2604994773864746,1633015196.7191918,-0.25,-0.25,0.01049947738647461
index_release,1633015196.6441734,1633015196.6441734,1633015196.8646793,3,0.220505952835083,1633015196.8941734,-0.25,-0.25,-0.029494047164916992
middle_press,1633015197.4892445,1633015197.4892445,1633015197.869272,3,0.38002753257751465,1633015197.7392445,-0.25,-0.25,0.13002753257751465
middle_release,1633015197.7492645,1633015197.7492645,1633015198.0893276,3,0.34006309509277344,1633015197.9992645,-0.25,-0.25,0.09006309509277344
middle_press,1633015198.5442607,1633015198.5442607,1633015198.7642643,3,0.22000360488891602,1633015198.7942607,-0.25,-0.25,-0.029996395111083984
middle_release,1633015198.8342779,1633015198.8342779,1633015199.0147822,3,0.18050432205200195,1633015199.0842779,-0.25,-0.25,-0.06949567794799805
index_press,1633015199.6994376,1633015199.6994376,1633015199.9199376,3,0.22049999237060547,1633015199.9494376,-0.25,-0.25,-0.02950000762939453
index_release,1633015200.2243574,1633015200.2243574,1633015200.4443426,3,0.2199852466583252,1633015200.4743574,-0.25,-0.25,-0.030014753341674805
index_press,1633015201.3094282,1633015201.3094282,1633015201.529918,3,0.2204897403717041,1633015201.5594282,-0.25,-0.25,-0.0295102596282959
index_release,1633015201.4143965,1633015201.4143965,1633015201.6749141,3,0.26051759719848633,1633015201.6643965,-0.25,-0.25,0.010517597198486328
middle_press,1633015202.4794261,1633015202.4794261,1633015202.9794438,3,0.5000176429748535,1633015202.7294261,-0.25,-0.25,0.2500176429748535
middle_release,1633015202.7294438,1633015202.7294438,1633015203.2300115,3,0.5005676746368408,1633015202.9794438,-0.25,-0.25,0.2505676746368408
index_press,1633015203.3295193,1633015203.3295193,1633015203.5500236,3,0.2205042839050293,1633015203.5795193,-0.25,-0.25,-0.029495716094970703
index_release,1633015204.1194642,1633015204.1194642,1633015204.339466,3,0.2200019359588623,1633015204.3694642,-0.25,-0.25,-0.029998064041137695
