name,time,ground_truth_time,random_shift_seconds,original_prompt_index
middle_press,1633015191.6116014,1633015191.5490537,0.06254773330233349,0
middle_release,1633015192.4926589,1633015192.294052,0.19860690048478774,1
index_press,1633015193.4669502,1633015193.3291073,0.13784284512259676,2
index_release,1633015193.3817396,1633015193.519136,-0.13739640500470407,3
index_press,1633015194.7392147,1633015194.8391316,-0.09991685754438728,4
index_release,1633015195.1159449,1633015194.9291682,0.18677672269813095,5
index_press,1633015194.9468133,1633015195.1941807,-0.24736734771721264,6
index_release,1633015195.4748125,1633015195.3141983,0.16061420919138314,7
index_press,1633015196.5326946,1633015196.3841598,0.1485347143760231,8
index_release,1633015196.458124,1633015196.4741564,-0.016032523578139612,9
index_press,1633015196.620708,1633015196.7191918,-0.09848378659034324,10
index_release,1633015196.7833862,1633015196.8941734,-0.11078719394961334,11
middle_press,1633015197.6166792,1633015197.7392445,-0.1225652061729377,12
middle_release,1633015197.9718027,1633015197.9992645,-0.027461847058676714,13
middle_press,1633015198.7965348,1633015198.7942607,0.0022741294789766497,14
middle_release,1633015199.1110265,1633015199.0842779,0.026748676037246233,15
index_press,1633015200.1971877,1633015199.9494376,0.24775014171719634,16
index_release,1633015200.6206884,1633015200.4743574,0.14633095960687653,17
index_press,1633015201.6205177,1633015201.5594282,0.06108961472058133,18
index_release,1633015201.9088767,1633015201.6643965,0.24448007384094245,19
middle_press,1633015202.5870805,1633015202.7294261,-0.14234565088220053,20
middle_release,1633015202.8095498,1633015202.9794438,-0.16989398307107773,21
index_press,1633015203.6357892,1633015203.5795193,0.05626980213651539,22
index_release,1633015204.1414351,1633015204.3694642,-0.22802899601930832,23
